date,revision,ticker,name
2017-07-01,2017-06-20,DLTR,Dollar Tree
2017-07-01,2017-06-20,EBAY,eBay
2017-07-01,2017-06-20,EA,Electronic Arts
2017-07-01,2017-06-20,EXPE,"Expedia, Inc."
2017-07-01,2017-06-20,ESRX,Express Scripts
2017-07-01,2017-06-20,FB,"Facebook, Inc."
2017-07-01,2017-06-20,FAST,Fastenal
2017-07-01,2017-06-20,FISV,Fiserv
2017-07-01,2017-06-20,GILD,Gilead Sciences
2017-07-01,2017-06-20,HAS,Hasbro
2017-07-01,2017-06-20,HSIC,Henry Schein
2017-07-01,2017-06-20,HOLX,Hologic
2017-07-01,2017-06-20,IDXX,Idexx Laboratories
2017-07-01,2017-06-20,ILMN,Illumina (company)
2017-07-01,2017-06-20,INCY,Incyte
2017-07-01,2017-06-20,INTC,Intel Corporation
2017-07-01,2017-06-20,INTU,Intuit
2017-07-01,2017-06-20,ISRG,Intuitive Surgical
2017-07-01,2017-06-20,JBHT,J. B. Hunt
2017-07-01,2017-06-20,JD,JD.com
2017-07-01,2017-06-20,KLAC,KLA-Tencor
2017-07-01,2017-06-20,LRCX,Lam Research
2017-07-01,2017-06-20,LBTYA,Liberty Global
2017-07-01,2017-06-20,LBTYK,Liberty Global
2017-07-01,2017-06-20,LILA,Liberty Global
2017-07-01,2017-06-20,LILAK,Liberty Global
2017-07-01,2017-06-20,LVNTA,Liberty Interactive
2017-07-01,2017-06-20,QVCA,Liberty Interactive
2017-07-01,2017-06-20,MAR,Marriott International
2017-07-01,2017-06-20,MAT,Mattel
2017-07-01,2017-06-20,MXIM,Maxim Integrated Products
2017-07-01,2017-06-20,MELI,MercadoLibre
2017-07-01,2017-06-20,MCHP,Microchip Technology
2017-07-01,2017-06-20,MU,Micron Technology
2017-07-01,2017-06-20,MSFT,Microsoft
2017-07-01,2017-06-20,MDLZ,Mondelēz International
2017-07-01,2017-06-20,MNST,Monster Beverage
2017-07-01,2017-06-20,MYL,Mylan
2017-07-01,2017-06-20,NTES,NetEase
2017-07-01,2017-06-20,NFLX,Netflix
2017-07-01,2017-06-20,NCLH,Norwegian Cruise Line
2017-07-01,2017-06-20,NVDA,Nvidia
2017-07-01,2017-06-20,ORLY,O'Reilly Auto Parts
2017-07-01,2017-06-20,PCAR,Paccar
2017-07-01,2017-06-20,PAYX,Paychex
2017-07-01,2017-06-20,PYPL,PayPal
2017-07-01,2017-06-20,QCOM,Qualcomm
2017-07-01,2017-06-20,REGN,Regeneron Pharmaceuticals
2017-07-01,2017-06-20,ROST,Ross Stores
2017-07-01,2017-06-20,STX,Seagate Technology
2017-07-01,2017-06-20,SHPG,Shire plc
2017-07-01,2017-06-20,SIRI,Sirius XM Radio
2017-07-01,2017-06-20,SWKS,Skyworks Solutions
2017-07-01,2017-06-20,SBUX,Starbucks
2017-07-01,2017-06-20,SYMC,Symantec
2017-07-01,2017-06-20,TMUS,T-Mobile US
2017-07-01,2017-06-20,TSLA,"Tesla Motors, Inc."
2017-07-01,2017-06-20,TXN,Texas Instruments
2017-07-01,2017-06-20,KHC,The Kraft Heinz Company
2017-07-01,2017-06-20,PCLN,The Priceline Group
2017-07-01,2017-06-20,TSCO,Tractor Supply Company
2017-07-01,2017-06-20,FOXA,Twenty-First Century Fox
2017-07-01,2017-06-20,FOX,Twenty-First Century Fox
2017-07-01,2017-06-20,ULTA,Ulta Beauty
2017-07-01,2017-06-20,VRSK,Verisk Analytics
2017-07-01,2017-06-20,VRTX,Vertex Pharmaceuticals
2017-07-01,2017-06-20,VIAB,Viacom
2017-07-01,2017-06-20,VOD,Vodafone
2017-07-01,2017-06-20,WBA,Walgreens Boots Alliance
2017-07-01,2017-06-20,WDC,Western Digital
2017-07-01,2017-06-20,WYNN,Wynn Resorts
2017-07-01,2017-06-20,XLNX,"Xilinx, Inc."
2017-10-01,2017-09-29,ATVI,Activision Blizzard
2017-10-01,2017-09-29,ADBE,Adobe Systems
2017-10-01,2017-09-29,AKAM,Akamai Technologies
2017-10-01,2017-09-29,ALXN,Alexion Pharmaceuticals
2017-10-01,2017-09-29,GOOGL,Alphabet Inc.
2017-10-01,2017-09-29,GOOG,Alphabet Inc.
2017-10-01,2017-09-29,AMZN,Amazon.com
2017-10-01,2017-09-29,AAL,American Airlines Group
2017-10-01,2017-09-29,AMGN,Amgen
2017-10-01,2017-09-29,ADI,Analog Devices
2017-10-01,2017-09-29,AAPL,Apple Inc.
2017-10-01,2017-09-29,AMAT,Applied Materials
