ticker,sic,sector
UPS,4210.0,Industrials
URBN,5651.0,Consumer Discretionary
USB,6021.0,Financials
V,7389.0,Financials
VEON,4812.0,Communication Services
VIAV,3674.0,Information Technology
VLO,2911.0,Energy
VOD,4812.0,Communication Services
VRSK,7374.0,Information Technology
VRSN,7371.0,Information Technology
VRT,3679.0,Information Technology
VRTX,2834.0,Health Care
VST,4911.0,Utilities
VTRS,2834.0,Health Care
VZ,4813.0,Communication Services
WBD,4841.0,Communication Services
WDAY,7374.0,Information Technology
WDC,3572.0,Information Technology
WFC,6021.0,Financials
WMB,4922.0,Energy
WMT,5331.0,Consumer Staples
WYNN,7011.0,Consumer Discretionary
XOM,2911.0,Energy
XRAY,3843.0,Health Care
YUM,5812.0,Consumer Discretionary
ZBH,3842.0,Health Care
ZM,7370.0,Information Technology
ZS,7371.0,Information Technology
ZTS,2834.0,Health Care
