model,params,NLL / day,AIC,AICc,BIC,dAICc,dBIC
"SARIMA(2,1,2)(0,0,2)[21]",8,1.5889498980413246,5993.629516431463,5993.706439508386,6037.945987065872,13.563240830860195,13.84928018804385
"SARIMA(3,1,4)(1,0,0)[21]",10,1.587910305415973,5993.718568974889,5993.836216033713,6049.1141572679,13.693017356186829,25.017450390071645
"SARIMA(4,1,3)(1,0,0)[21]",10,1.587917379537183,5993.745181818883,5993.862828877706,6049.140770111893,13.71963020018029,25.044063234065103
"SARIMA(3,1,4)(0,0,1)[21]",10,1.5879222009399565,5993.763319936115,5993.880966994939,6049.158908229126,13.7377683174127,25.06220135129752
"SARIMA(3,1,5)",10,1.5879248644757504,5993.773340157773,5993.890987216597,6049.168928450784,13.747788539070823,25.07222157295564
"SARIMA(4,1,3)(0,0,1)[21]",10,1.5879285449916722,5993.787186258671,5993.904833317494,6049.182774551681,13.76163463996818,25.086067673852995
"SARIMA(3,1,3)(1,0,1)[21]",10,1.5879319955160562,5993.800167131403,5993.917814190227,6049.195755424414,13.77461551270062,25.09904854658544
"SARIMA(3,1,2)(0,0,1)[21]",8,1.5890062117500872,5993.841368603828,5993.91829168075,6038.157839238236,13.775093003224356,14.06113236040801
"SARIMA(3,1,2)(1,0,0)[21]",8,1.5890070538213734,5993.844536476006,5993.921459552929,6038.161007110415,13.778260875403248,14.064300232586902
"SARIMA(5,1,5)(2,0,2)[21]",16,1.5847473108131498,5993.819383279069,5994.111228772632,6082.452324547886,13.96803009510586,58.35561767005765
"SARIMA(2,1,5)(0,0,1)[21]",10,1.5880067615687594,5994.081437021673,5994.1990840804965,6049.477025314684,14.055885402970487,25.380318436855305
"SARIMA(2,1,3)(0,0,1)[21]",8,1.5890814583655315,5994.12444637113,5994.201369448053,6038.440917005539,14.058170770526884,14.34421012771054
"SARIMA(2,1,2)(1,0,1)[21]",8,1.5890816083396924,5994.125010573923,5994.201933650846,6038.441481208331,14.058734973319588,14.344774330503242
"SARIMA(2,1,5)(1,0,0)[21]",10,1.588009159616568,5994.090458477529,5994.208105536352,6049.486046770539,14.064906858826362,25.389339892711178
"SARIMA(2,1,3)(1,0,0)[21]",8,1.5890862871229108,5994.14261215639,5994.219535233313,6038.459082790799,14.076336555786838,14.362375912970492
"SARIMA(5,1,3)(1,0,1)[63]",12,1.5869578274572078,5994.135346894016,5994.30237044862,6060.610052845628,14.159171771093495,36.51334596779998
"SARIMA(2,1,5)(0,0,1)[63]",10,1.5880395746380522,5994.204879788353,5994.322526847176,6049.600468081363,14.179328169650034,25.50376120353485
"SARIMA(3,1,3)(1,0,1)[63]",10,1.5880768093262383,5994.344956685309,5994.462603744132,6049.740544978319,14.319405066606125,25.64383810049094
"SARIMA(5,1,2)(2,0,0)[21]",11,1.5875540915439852,5994.378492388472,5994.519744394893,6055.313639510784,14.376545717366753,31.21693263295583
"SARIMA(5,1,2)(0,0,2)[21]",11,1.5875624593046094,5994.4099719039405,5994.551223910361,6055.345119026252,14.408025232834916,31.248412148423995
"SARIMA(3,1,3)(0,0,2)[63]",10,1.5881158270801985,5994.4917414757065,5994.60938853453,6049.887329768717,14.466189857003885,25.7906228908887
"SARIMA(3,1,2)(0,0,1)[63]",8,1.5891919859615808,5994.540251187467,5994.61717426439,6038.856721821876,14.473975586864071,14.760014944047724
"SARIMA(5,1,3)(1,0,0)[21]",11,1.5875816572698336,5994.482194649114,5994.623446655534,6055.4173417714255,14.480247978008263,31.320634893597344
"SARIMA(3,1,4)(0,0,1)[63]",10,1.588124014813015,5994.522543726562,5994.640190785385,6049.918132019572,14.496992107859114,25.82142514174393
